collection,corpus,transcript,utterance_id,classification,multiplicity,alignment_basis,spacy_subject_surface,spacy_verb_surface,spacy_subject_lemma,spacy_verb_lemma,spacy_verb_pos,spacy_subject_index,spacy_verb_index,ud_subject_surface,ud_verb_surface,ud_subject_lemma,ud_verb_lemma,ud_verb_pos,ud_subject_index,ud_verb_index
Eng-NA,Brown,Brown/Sarah/040209.cha,165,both,1,token_indices,I,know,i,know,VERB,3.0,4.0,I,know,i,know,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,165,both,1,token_indices,I'd,forget,i,forget,VERB,5.0,6.0,I'd,forget,i,forget,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,166,both,1,token_indices,it,shows,it,show,VERB,1.0,3.0,it,shows,it,show,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,168,both,1,token_indices,you,hear,you,hear,VERB,2.0,4.0,you,hear,you,hear,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,175,both,1,token_indices,eggs,come,egg,come,VERB,4.0,5.0,eggs,come,egg,come,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,178,both,1,token_indices,eggs,come,egg,come,VERB,3.0,4.0,eggs,come,egg,come,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,180,both,1,token_indices,you,know,you,know,VERB,1.0,3.0,you,know,you,know,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,182,both,1,token_indices,she,knows,she,know,VERB,2.0,3.0,she,knows,she,know,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,182,both,1,token_indices,eggs,come,egg,come,VERB,5.0,6.0,eggs,come,egg,come,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,184,both,1,token_indices,what,comes,what,come,VERB,2.0,3.0,what,comes,what,come,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,186,both,1,token_indices,eggs,come,egg,come,VERB,3.0,4.0,eggs,come,egg,come,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,188,both,1,token_indices,eggs,come,egg,come,VERB,3.0,4.0,eggs,come,egg,come,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,193,both,1,token_indices,I,wonder,i,wonder,VERB,1.0,2.0,I,wonder,i,wonder,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,193,both,1,token_indices,Dickie,did,dickie,do,VERB,4.0,5.0,Dickie,did,dickie,do,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,194,both,1,token_indices,he,put,he,put,VERB,1.0,4.0,he,put,he,put,VERB,1.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,213,both,1,token_indices,she,had,she,have,VERB,1.0,3.0,she,had,she,have,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,215,both,1,token_indices,I've,making,i,make,VERB,4.0,6.0,I've,making,i,make,VERB,4.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,215,both,1,token_indices,I,got,i,get,VERB,9.0,10.0,I,got,i,get,VERB,9.0,10.0
Eng-NA,Brown,Brown/Sarah/040209.cha,217,both,1,token_indices,you,had,you,have,VERB,2.0,3.0,you,had,you,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,220,both,1,token_indices,you,want,you,want,VERB,3.0,4.0,you,want,you,want,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,221,both,1,token_indices,he,have,he,have,VERB,2.0,3.0,he,have,he,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,223,both,1,token_indices,he,have,he,have,VERB,2.0,3.0,he,have,he,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,225,both,1,token_indices,you,know,you,know,VERB,2.0,3.0,you,know,you,know,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,229,both,1,token_indices,you,call,you,call,VERB,1.0,3.0,you,call,you,call,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,230,both,1,token_indices,you,had,you,have,VERB,1.0,2.0,you,had,you,have,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,231,both,1,token_indices,that,lends,that,lend,VERB,5.0,6.0,that,lends,that,lend,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,235,both,1,token_indices,you,want,you,want,VERB,2.0,3.0,you,want,you,want,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,264,both,1,token_indices,you,fix,you,fix,VERB,5.0,6.0,you,fix,you,fix,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,268,both,1,token_indices,who,gets,who,get,VERB,1.0,2.0,who,gets,who,get,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,275,both,1,token_indices,I,get,i,get,VERB,3.0,4.0,I,get,i,get,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,286,both,1,token_indices,I,think,i,think,VERB,1.0,2.0,I,think,i,think,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,298,both,1,token_indices,you,remember,you,remember,VERB,1.0,3.0,you,remember,you,remember,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,300,both,1,token_indices,you,forget,you,forget,VERB,2.0,3.0,you,forget,you,forget,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,302,both,1,token_indices,you,stand,you,stand,VERB,2.0,3.0,you,stand,you,stand,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,304,both,1,token_indices,you,come,you,come,VERB,1.0,2.0,you,come,you,come,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,317,both,1,token_indices,Melissa,got,melissa,get,VERB,4.0,5.0,Melissa,got,melissa,get,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,318,both,1,token_indices,she,eats,she,eat,VERB,1.0,2.0,she,eats,she,eat,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,329,both,1,token_indices,she,has,she,have,VERB,2.0,3.0,she,has,she,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,329,both,1,token_indices,we'll,put,we,put,VERB,6.0,7.0,we'll,put,we,put,VERB,6.0,7.0
Eng-NA,Brown,Brown/Sarah/040209.cha,338,both,1,token_indices,thing,came,thing,come,VERB,3.0,4.0,thing,came,thing,come,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,340,both,1,token_indices,I,think,i,think,VERB,1.0,2.0,I,think,i,think,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,347,both,1,token_indices,you,get,you,get,VERB,1.0,3.0,you,get,you,get,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,362,both,1,token_indices,that,makes,that,make,VERB,2.0,3.0,that,makes,that,make,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,363,both,1,token_indices,you,have,you,have,VERB,2.0,3.0,you,have,you,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,367,both,1,token_indices,that,make,that,make,VERB,2.0,3.0,that,make,that,make,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,379,both,1,token_indices,you,brush,you,brush,VERB,2.0,3.0,you,brush,you,brush,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,385,both,1,token_indices,you,want,you,want,VERB,2.0,3.0,you,want,you,want,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,391,both,1,token_indices,that,goes,that,go,VERB,1.0,2.0,that,goes,that,go,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,394,both,1,token_indices,it,come,it,come,VERB,2.0,3.0,it,come,it,come,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,398,both,1,token_indices,Sarah,made,sarah,make,VERB,1.0,5.0,Sarah,made,sarah,make,VERB,1.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,403,both,1,token_indices,I,know,i,know,VERB,1.0,3.0,I,know,i,know,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,404,both,1,token_indices,she,loves,she,love,VERB,1.0,2.0,she,loves,she,love,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,407,both,1,token_indices,it's,gonna,it,go,VERB,1.0,2.0,it's,gonna,it,go,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,416,both,1,token_indices,you,use,you,use,VERB,1.0,2.0,you,use,you,use,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,427,both,1,token_indices,cotton,do,cotton,do,VERB,4.0,5.0,cotton,do,cotton,do,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,428,both,1,token_indices,it,help,it,help,VERB,2.0,3.0,it,help,it,help,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,432,both,1,token_indices,you,comb,you,comb,VERB,2.0,3.0,you,comb,you,comb,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,437,both,1,token_indices,you,got,you,get,VERB,3.0,4.0,you,got,you,get,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,447,both,1,token_indices,you,lose,you,lose,VERB,2.0,3.0,you,lose,you,lose,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,450,both,1,token_indices,Grampy,gave,grampy,give,VERB,1.0,2.0,Grampy,gave,grampy,give,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,453,both,1,token_indices,Grampy,gave,grampy,give,VERB,1.0,2.0,Grampy,gave,grampy,give,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,466,both,1,token_indices,she's,trying,she,try,VERB,2.0,3.0,she's,trying,she,try,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,468,both,1,token_indices,you'll,get,you,get,VERB,1.0,2.0,you'll,get,you,get,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,469,both,1,token_indices,you,gonna,you,go,VERB,3.0,4.0,you,gonna,you,go,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,472,both,1,token_indices,I,brought,i,bring,VERB,6.0,8.0,I,brought,i,bring,VERB,6.0,8.0
Eng-NA,Brown,Brown/Sarah/040209.cha,474,both,1,token_indices,we,come,we,come,VERB,2.0,4.0,we,come,we,come,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,478,both,1,token_indices,we,go,we,go,VERB,2.0,3.0,we,go,we,go,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,486,both,1,token_indices,I,want,i,want,VERB,1.0,3.0,I,want,i,want,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,488,both,1,token_indices,boys,put,boy,put,VERB,1.0,3.0,boys,put,boy,put,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,490,both,1,token_indices,Sarah,come,sarah,come,VERB,1.0,2.0,Sarah,come,sarah,come,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,492,both,1,token_indices,you,see,you,see,VERB,2.0,3.0,you,see,you,see,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,492,both,1,token_indices,men,slide,man,slide,VERB,7.0,8.0,men,slide,man,slide,VERB,7.0,8.0
Eng-NA,Brown,Brown/Sarah/040209.cha,493,both,1,token_indices,it,have,it,have,VERB,2.0,3.0,it,have,it,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,495,both,1,token_indices,you,see,you,see,VERB,2.0,3.0,you,see,you,see,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,497,both,1,token_indices,you,missed,you,miss,VERB,1.0,3.0,you,missed,you,miss,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,501,both,1,token_indices,they,gone,they,go,VERB,1.0,3.0,they,gone,they,go,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,502,both,1,token_indices,Sarah,seen,sarah,see,VERB,1.0,2.0,Sarah,seen,sarah,see,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,503,both,1,token_indices,she,missed,she,miss,VERB,2.0,4.0,she,missed,she,miss,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,token_indices,I,remember,i,remember,VERB,1.0,2.0,I,remember,i,remember,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,token_indices,I,went,i,go,VERB,8.0,9.0,I,went,i,go,VERB,8.0,9.0
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,token_indices,they,gave,they,give,VERB,15.0,16.0,they,gave,they,give,VERB,15.0,16.0
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,token_indices,men,jump,man,jump,VERB,23.0,24.0,men,jump,man,jump,VERB,23.0,24.0
Eng-NA,Brown,Brown/Sarah/040209.cha,504,both,1,token_indices,I'd,seen,i,see,VERB,40.0,42.0,I'd,seen,i,see,VERB,40.0,42.0
Eng-NA,Brown,Brown/Sarah/040209.cha,505,both,1,token_indices,she,seen,she,see,VERB,2.0,3.0,she,seen,she,see,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,507,both,1,token_indices,they,wear,they,wear,VERB,1.0,3.0,they,wear,they,wear,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,509,both,1,token_indices,I,see,i,see,VERB,2.0,3.0,I,see,i,see,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,511,both,1,token_indices,they,wear,they,wear,VERB,5.0,7.0,they,wear,they,wear,VERB,5.0,7.0
Eng-NA,Brown,Brown/Sarah/040209.cha,516,both,1,token_indices,that,goes,that,go,VERB,2.0,3.0,that,goes,that,go,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,523,both,1,token_indices,Betty,went,betty,go,VERB,4.0,5.0,Betty,went,betty,go,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,530,both,1,token_indices,she,having,she,have,VERB,2.0,3.0,she,having,she,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,537,both,1,token_indices,she's,having,she,have,VERB,1.0,2.0,she's,having,she,have,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,545,both,1,token_indices,Sarah,have,sarah,have,VERB,2.0,4.0,Sarah,have,sarah,have,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,546,both,1,token_indices,I,did,i,do,VERB,1.0,3.0,I,did,i,do,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,547,both,1,token_indices,I,did,i,do,VERB,1.0,3.0,I,did,i,do,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,548,both,1,token_indices,they,do,they,do,VERB,1.0,3.0,they,do,they,do,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,548,both,1,token_indices,they,useta,they,useta,VERB,9.0,10.0,they,useta,they,useta,VERB,9.0,10.0
Eng-NA,Brown,Brown/Sarah/040209.cha,551,both,1,token_indices,she,had,she,have,VERB,1.0,2.0,she,had,she,have,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,552,both,1,token_indices,you,see,you,see,VERB,2.0,4.0,you,see,you,see,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,554,both,1,token_indices,they,were,they,be,AUX,1.0,2.0,they,were,they,be,AUX,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,555,both,1,token_indices,she,get,she,get,VERB,2.0,3.0,she,get,she,get,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,559,both,1,token_indices,she'll,try,she,try,VERB,2.0,3.0,she'll,try,she,try,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,560,both,1,token_indices,I,guess,i,guess,VERB,1.0,2.0,I,guess,i,guess,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,560,both,1,token_indices,they,do,they,do,VERB,3.0,6.0,they,do,they,do,VERB,3.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,563,both,1,token_indices,you,have,you,have,VERB,2.0,4.0,you,have,you,have,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,567,both,1,token_indices,you,have,you,have,VERB,2.0,4.0,you,have,you,have,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,571,both,1,token_indices,Joan,went,joan,go,VERB,1.0,4.0,Joan,went,joan,go,VERB,1.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,576,both,1,token_indices,you,have,you,have,VERB,4.0,5.0,you,have,you,have,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,579,both,1,token_indices,uncle,had,uncle,have,VERB,2.0,3.0,uncle,had,uncle,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,581,both,1,token_indices,mother,had,mother,have,VERB,2.0,4.0,mother,had,mother,have,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,584,both,1,token_indices,she,had,she,have,VERB,1.0,3.0,she,had,she,have,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,586,both,1,token_indices,he,had,he,have,VERB,1.0,2.0,he,had,he,have,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,604,both,1,token_indices,he,move,he,move,VERB,1.0,3.0,he,move,he,move,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,607,both,1,token_indices,he,moved,he,move,VERB,1.0,2.0,he,moved,he,move,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,615,both,1,token_indices,she,forget,she,forget,VERB,1.0,3.0,she,forget,she,forget,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,616,both,1,token_indices,she,forget,she,forget,VERB,2.0,4.0,she,forget,she,forget,VERB,2.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,620,both,1,token_indices,I,see,i,see,VERB,1.0,3.0,I,see,i,see,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,622,both,1,token_indices,cars,crashed,car,crash,VERB,3.0,4.0,cars,crashed,car,crash,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,622,both,1,token_indices,I,guess,i,guess,VERB,5.0,6.0,I,guess,i,guess,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,623,both,1,token_indices,they,took,they,take,VERB,2.0,3.0,they,took,they,take,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,624,both,1,token_indices,you,know,you,know,VERB,5.0,6.0,you,know,you,know,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,625,both,1,token_indices,she,kept,she,keep,VERB,2.0,3.0,she,kept,she,keep,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,625,both,1,token_indices,she,gonna,she,go,VERB,6.0,8.0,she,gonna,she,go,VERB,6.0,8.0
Eng-NA,Brown,Brown/Sarah/040209.cha,628,both,1,token_indices,she,see,she,see,VERB,2.0,5.0,she,see,she,see,VERB,2.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,629,both,1,token_indices,she,saw,she,see,VERB,1.0,3.0,she,saw,she,see,VERB,1.0,3.0
